c,h,l,n,o,t,v,vw
60023.5775,60023.5775,60023.5775,0,60023.5775,2024-05-01T01:12:00Z,0.0,0.0
59955.185,60094.795,59955.185,0,60064.701,2024-05-01T01:13:00Z,0.0,0.0
59884.6265,59957.6375,59884.6265,0,59915.8,2024-05-01T01:14:00Z,0.0,0.0
59915.6,59915.6,59915.6,0,59915.6,2024-05-01T01:15:00Z,0.0,0.0
59914.825,59959.9735,59880.97,0,59959.9735,2024-05-01T01:16:00Z,0.0,0.0
59915.85,59915.85,59887.131,0,59887.131,2024-05-01T01:17:00Z,0.0,0.0
59913.42,59948.745,59913.42,0,59948.745,2024-05-01T01:18:00Z,0.0,0.0
59985.15,59985.15,59936.9055,0,59936.9055,2024-05-01T01:19:00Z,0.0,0.0
60220.3985,60220.3985,60039.02,0,60039.02,2024-05-01T01:20:00Z,0.0,0.0
60257.553,60257.553,60225.065,0,60246.48,2024-05-01T01:21:00Z,0.0,0.0
60215.3,60215.3,60215.3,0,60215.3,2024-05-01T01:22:00Z,0.0,0.0
60292.3,60292.3,60265.2385,0,60265.2385,2024-05-01T01:23:00Z,0.0,0.0
60287.733,60287.733,60264.455,0,60264.455,2024-05-01T01:24:00Z,0.0,0.0
60286.552,60316.795,60286.552,0,60316.795,2024-05-01T01:25:00Z,0.0,0.0
60274.309,60274.309,60239.8595,0,60239.8595,2024-05-01T01:26:00Z,0.0,0.0
60247.995,60247.995,60247.995,0,60247.995,2024-05-01T01:28:00Z,0.0,0.0
60293.585,60293.585,60293.585,0,60293.585,2024-05-01T01:29:00Z,0.0,0.0
60353.611,60353.611,60329.935,0,60329.935,2024-05-01T01:31:00Z,0.0,0.0
60355.258,60396.715,60355.258,0,60396.715,2024-05-01T01:32:00Z,0.0,0.0
60360.035,60360.035,60329.5855,0,60329.5855,2024-05-01T01:33:00Z,0.0,0.0
60316.0425,60316.0425,60316.0425,0,60316.0425,2024-05-01T01:35:00Z,0.0,0.0
60393.815,60393.815,60352.2855,0,60352.2855,2024-05-01T01:38:00Z,0.0,0.0
60349.664,60349.664,60349.664,0,60349.664,2024-05-01T01:40:00Z,0.0,0.0
60325.1605,60325.1605,60325.1605,0,60325.1605,2024-05-01T01:41:00Z,0.0,0.0
60356.3085,60356.3085,60356.3085,0,60356.3085,2024-05-01T01:42:00Z,0.0,0.0
60316.892,60326.6,60316.892,0,60326.6,2024-05-01T01:43:00Z,0.0,0.0
60235.08,60269.35,60235.08,0,60269.35,2024-05-01T01:44:00Z,0.0,0.0
60141.5685,60218.4,60141.5685,0,60218.4,2024-05-01T01:45:00Z,0.0,0.0
60191.937,60191.937,60167.456,0,60167.456,2024-05-01T01:46:00Z,0.0,0.0
60233.33,60233.33,60233.33,0,60233.33,2024-05-01T01:47:00Z,0.0,0.0
60167.145,60227.175,60132.75,0,60227.175,2024-05-01T01:49:00Z,0.0,0.0
60203.85,60203.85,60203.85,0,60203.85,2024-05-01T01:52:00Z,0.0,0.0
60124.418,60180.3,60124.418,0,60180.3,2024-05-01T01:54:00Z,0.0,0.0
60056.491,60096.081,60056.491,0,60096.081,2024-05-01T01:57:00Z,0.0,0.0
60128.495,60128.495,60094.8,0,60094.8,2024-05-01T01:58:00Z,0.0,0.0
60152.57,60152.57,60152.57,0,60152.57,2024-05-01T01:59:00Z,0.0,0.0
60119.47,60119.47,60119.47,0,60119.47,2024-05-01T02:01:00Z,0.0,0.0
60092.192,60092.192,60092.192,0,60092.192,2024-05-01T02:02:00Z,0.0,0.0
59970.495,60072.235,59970.495,0,60072.235,2024-05-01T02:03:00Z,0.0,0.0
60005.9125,60005.9125,60005.9125,0,60005.9125,2024-05-01T02:04:00Z,0.0,0.0
59990.0425,60019.637,59990.0425,0,60019.637,2024-05-01T02:05:00Z,0.0,0.0
59942.4785,59942.4785,59942.4785,0,59942.4785,2024-05-01T02:06:00Z,0.0,0.0
59885.05,59913.255,59885.05,0,59913.255,2024-05-01T02:08:00Z,0.0,0.0
59796.315,59858.761,59796.315,0,59858.761,2024-05-01T02:09:00Z,0.0,0.0
