,open_time,open,close,high,low,close.1,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,rsi_val
0,1503007200000,4333.55,4333.77,4333.55,4333.77,2.434538,1503007259999,10550.49623984,6,1.382227,5990.25390579,0,low
1,1503007260000,4335.56,4335.56,4333.77,4335.56,0.392846,1503007319999,1702.72485735,3,0.123267,534.43147452,0,low
2,1503007320000,4335.56,4335.56,4335.56,4335.56,0.061356,1503007379999,266.01261936,2,0.061356,266.01261936,0,low
3,1503007380000,4335.56,4335.56,4335.56,4335.56,0.428977,1503007439999,1859.85552212,7,0.428977,1859.85552212,0,low
4,1503007440000,4322.39,4335.56,4322.39,4335.56,3.910285,1503007499999,16902.75336299,3,3.882534,16782.43723743,0,low
5,1503007500000,4349.63,4349.63,4349.63,4349.63,0.192445,1503007559999,837.06454535,3,0.192445,837.06454535,0,low
6,1503007560000,4349.63,4349.63,4349.63,4349.63,0.027266,1503007619999,118.59701158,2,0.027266,118.59701158,0,low
7,1503007620000,4349.63,4349.63,4349.63,4349.63,0.715657,1503007679999,3112.84315691,2,0.715657,3112.84315691,0,low
8,1503007680000,4349.63,4349.63,4343.96,4349.63,1.193806,1503007739999,5191.59379178,6,1.193806,5191.59379178,0,low
9,1503007740000,4343.96,4343.96,4343.96,4343.96,0.510556,1503007799999,2217.83484176,3,0.510556,2217.83484176,0,low
10,1503007800000,4349.63,4349.63,4343.96,4349.63,0.176363,1503007859999,766.41432748,6,0.053,230.53039,0,low
11,1503007860000,4349.63,4349.63,4349.63,4349.63,0.121849,1503007919999,529.99806587,1,0.121849,529.99806587,0,low
12,1503007920000,4349.63,4349.63,4349.63,4349.63,0.045024,1503007979999,195.83774112,1,0.045024,195.83774112,0,low
13,1503007980000,4334.32,4334.32,4334.32,4334.32,1.069627,1503008039999,4636.10569864,6,0.83,3597.4856,0,low
14,1503008040000,4334.32,4334.32,4334.32,4334.32,0.0,1503008099999,0.0,0,0.0,0.0,0,neutral
