open_time,open,close,high,low,close,vol,close_time,quote_volume,trade_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1745307480000,88332.08000000,88357.60000000,88311.09000000,88335.95000000,17.55408000,1745307539999,1550582.46550540,1756,4.77222000,421543.99883590,0
1745307540000,88335.96000000,88357.60000000,88330.27000000,88340.65000000,28.50852000,1745307599999,2518630.62340880,1819,17.16630000,1516579.64462640,0
1745307600000,88340.64000000,88376.80000000,88340.64000000,88367.93000000,17.61985000,1745307659999,1557039.77944800,1298,7.28924000,644149.43747380,0
1745307660000,88367.92000000,88411.41000000,88367.92000000,88376.96000000,18.08344000,1745307719999,1598357.61760090,1353,5.41991000,479016.08874980,0
1745307720000,88376.96000000,88376.96000000,88320.75000000,88356.65000000,14.59818000,1745307779999,1289808.23461750,2009,2.61244000,230799.68485810,0
1745307780000,88356.65000000,88424.24000000,88352.11000000,88424.24000000,34.04364000,1745307839999,3008884.82351900,1989,24.63568000,2177293.17440130,0
1745307840000,88424.23000000,88461.69000000,88416.86000000,88461.69000000,16.85405000,1745307899999,1490466.04543210,1381,7.13985000,631463.02692400,0
1745307900000,88461.68000000,88486.00000000,88429.39000000,88486.00000000,19.94793000,1745307959999,1764609.69669110,1846,8.45834000,748224.59928330,0
1745307960000,88486.00000000,88486.00000000,88429.99000000,88442.53000000,54.65550000,1745308019999,4834204.58126270,1949,17.70449000,1565750.48823400,0
1745308020000,88442.53000000,88469.31000000,88420.00000000,88420.01000000,47.00545000,1745308079999,4157870.49582200,1799,32.20888000,2849139.08997030,0
1745308080000,88420.00000000,88434.89000000,88420.00000000,88434.39000000,14.81660000,1745308139999,1310266.90993660,1048,5.35678000,473704.34334790,0
1745308140000,88434.39000000,88434.40000000,88396.01000000,88396.02000000,29.16235000,1745308199999,2578427.92244460,1145,3.01854000,266866.74999230,0
1745308200000,88396.01000000,88397.21000000,88380.00000000,88381.63000000,22.63801000,1745308259999,2000980.30053320,1103,4.92764000,435543.17629490,0
1745308260000,88381.63000000,88390.00000000,88376.28000000,88382.00000000,21.67394000,1745308319999,1915624.94329240,1102,5.77463000,510359.37642080,0
1745308320000,88381.99000000,88382.00000000,88367.92000000,88378.30000000,13.31042000,1745308379999,1176313.59569790,1016,2.59773000,229572.87467800,0
1745308380000,88378.30000000,88378.30000000,88367.92000000,88367.93000000,12.53709000,1745308439999,1107922.95247460,912,2.47732000,218924.98296890,0
1745308440000,88367.93000000,88367.93000000,88367.92000000,88367.93000000,10.30038000,1745308499999,910223.17073690,598,1.49273000,131909.46014890,0
1745308500000,88367.92000000,88410.00000000,88367.92000000,88409.99000000,16.20212000,1745308559999,1432082.45650520,1038,6.19327000,547416.77385410,0
1745308560000,88409.99000000,88462.27000000,88402.40000000,88462.26000000,17.50702000,1745308619999,1548132.26448780,1394,6.82444000,603448.89354460,0
1745308620000,88462.26000000,88470.27000000,88459.97000000,88463.99000000,14.68312000,1745308679999,1298972.11649120,1044,4.85433000,429441.79251560,0
1745308680000,88463.98000000,88468.88000000,88453.21000000,88463.84000000,21.50845000,1745308739999,1902685.84699910,975,3.70783000,327987.80694430,0
1745308740000,88463.84000000,88476.83000000,88463.84000000,88476.83000000,13.57295000,1745308799999,1200825.52047980,710,3.70173000,327498.83369790,0
1745308800000,88476.82000000,88528.88000000,88468.71000000,88508.61000000,41.76960000,1745308859999,3696646.53306180,2822,26.45485000,2341231.60733880,0
1745308860000,88508.61000000,88508.61000000,88472.33000000,88472.34000000,16.99726000,1745308919999,1504201.95453720,1333,4.39299000,388768.55030960,0
1745308920000,88472.34000000,88478.27000000,88456.89000000,88459.62000000,5.50981000,1745308979999,487464.99542870,965,1.94163000,171775.17550160,0
1745308980000,88459.62000000,88459.62000000,88440.00000000,88440.01000000,7.42978000,1745309039999,657179.89399350,865,2.40689000,212891.33070790,0
1745309040000,88440.01000000,88497.25000000,88440.00000000,88474.61000000,5.47436000,1745309099999,484377.70847330,1132,2.37186000,209836.57285820,0
1745309100000,88474.61000000,88556.42000000,88474.60000000,88550.00000000,13.03579000,1745309159999,1154042.95774190,2382,11.50427000,1018432.88655940,0
1745309160000,88550.01000000,88550.01000000,88519.72000000,88543.20000000,23.45673000,1745309219999,2076828.43919540,1456,12.37387000,1095504.92259640,0
1745309220000,88543.20000000,88586.52000000,88543.19000000,88552.97000000,30.24751000,1745309279999,2679105.83273940,1696,21.29596000,1886267.72404170,0
1745309280000,88552.96000000,88608.00000000,88550.00000000,88550.00000000,33.50995000,1745309339999,2968314.20632920,2914,21.82194000,1933086.60265420,0
1745309340000,88550.01000000,88593.93000000,88550.00000000,88593.93000000,7.83524000,1745309399999,693933.06744850,1231,4.39491000,389245.48129230,0
1745309400000,88593.92000000,88610.38000000,88577.48000000,88592.62000000,13.70804000,1745309459999,1214319.07466870,1099,11.16669000,989166.86195490,0
1745309460000,88592.62000000,88638.98000000,88592.62000000,88623.36000000,32.03895000,1745309519999,2839502.42776260,1579,26.94022000,2387643.54977750,0
1745309520000,88623.36000000,88630.00000000,88555.00000000,88555.00000000,15.83685000,1745309579999,1403333.97066340,1671,8.90401000,789078.85987400,0
1745309580000,88555.00000000,88585.05000000,88537.96000000,88585.04000000,7.71538000,1745309639999,683264.42054170,1540,3.51053000,310884.06435650,0
1745309640000,88585.04000000,88589.41000000,88540.00000000,88546.82000000,8.86617000,1745309699999,785229.23964520,1070,2.43740000,215846.21075650,0
1745309700000,88546.82000000,88579.07000000,88546.82000000,88579.06000000,3.32979000,1745309759999,294920.14659160,679,1.98096000,175446.38026320,0
1745309760000,88579.06000000,88629.53000000,88579.05000000,88623.88000000,9.20963000,1745309819999,816045.97436530,1098,8.13260000,720606.89130490,0
1745309820000,88623.88000000,88688.00000000,88623.87000000,88687.99000000,10.22039000,1745309879999,906076.32782760,1686,9.31894000,826164.01506070,0
1745309880000,88687.99000000,88688.00000000,88651.09000000,88651.11000000,8.82648000,1745309939999,782578.31992320,1067,3.64236000,322931.56600640,0
