time_id,Price,Quantity
0,802.59,-5550
1,802.43,-540
2,802.66,330
3,802.61,1200
4,802.04,-918
5,801.84,-297
6,802.13,906
7,802.78,-8927
8,803.28,-100
9,803.28,-550
10,803.72,515
11,803.13,-100
12,803.27,-899
13,803.22,-1099
14,803.22,-1260
15,803.22,-1200
16,803.21,-640
17,803.21,-974
18,808.68,-155
19,809.09,164
20,809.6,-20884
21,810.37,-408
22,809.89,-3078
23,809.89,-1514
24,809.89,-5000
25,810.28,-836
26,810.28,-6690
27,810.42,-367
28,810.61,1452
29,810.3,178
30,810.45,300
31,809.94,1400
32,810.63,-123
33,810.73,-100
34,810.49,761
35,811.24,1430
36,810.03,-3769
37,810.02,-2419
38,810.01,-11744
39,810.03,1188
40,810.35,1072
41,812.02,71
42,811.56,892
43,811.16,-200
44,811.12,-8540
45,810.1,200
46,810.12,100
47,809.83,600
48,809.79,-2343
49,809.02,-11516
50,809.43,-2302
51,809.94,71
52,809.68,100
53,809.64,8924
54,809.62,35
55,809.95,1
56,810.63,863
57,810.71,4068
58,810.55,651
59,810.57,3016
60,810.58,390
61,810.84,-4307
62,810.85,-284
63,810.59,-300
64,810.82,461
65,810.66,200
66,810.73,332
67,811.04,404
68,811.83,150
69,812.01,-2582
70,811.98,-216
71,812.09,-172
72,812.23,2999
73,812.59,823
74,812.48,178
75,812.92,4900
76,813.43,782
77,813.45,68
78,813.46,1415
79,813.47,8990
80,813.07,7355
81,812.99,-594
82,813.34,7420
83,813.02,-6439
84,813.34,150
85,813.24,-901
86,813.25,-4900
87,813.42,-1578
88,814.25,-594
89,814.99,-640
90,815.52,-71
91,815.66,362
92,815.55,1225
93,815.96,-4265
94,816.07,10498
95,816.06,1019
96,816.06,915
97,816.07,8325
98,816.07,907
99,817.18,440
100,817.32,14526
101,817.76,100
102,817.87,-6883
103,818.29,19232
104,817.25,-535
105,818.52,882
106,817.77,-100
107,818.14,200
108,818.54,-1
109,818.3,-73
110,818.69,3122
111,818.84,1693
112,818.54,-156
113,818.64,108
114,818.02,150
115,818.23,100
116,818.47,-3502
117,818.07,-65
118,818.28,1139
119,818.29,141
120,816.65,-100
121,817.2,-210
122,816.32,-60
123,816.47,804
124,815.81,100
125,815.13,-200
126,815.12,-66
127,814.45,-181
128,813.91,-310
129,814.44,1981
130,813.93,20408
131,813.94,570
132,813.98,3135
133,814,64
134,814.01,5240
135,814.23,-70
136,816.01,76
137,816.04,1972
138,817.28,118
139,817.11,704
140,816.9,-627
141,816.78,461
142,816.97,100
143,816.43,-397
144,817.14,2578
145,817.04,986
